Unnamed: 0,source_term,mapped_term,confidence_score
0,arrivalTime,arrival_time,7
4,destinationZone,destination_id,6
7,startTime,start_date,4
15,longName,service_id,3
21,TransfersAllowedType,transfers,5
24,OneTransfersAllowed,transfers,5
27,monday,monday,16
34,CalendarDateRule,calendar,17
36,Station,parent_station,15
37,thursday,monday,16
44,pickupType,pickup_type,8
45,BeforeBoarding,wheelchair_boarding,4
46,minimumTransferTime,transfers,4
49,routeType,route,92
52,trip,trip,51
54,code,stop_code,11
57,Route,route,8
58,wednesday,monday,16
66,stopSequence,stop,64
67,CalendarRule,calendar,16
70,EnsuredTransfer,transfers,9
72,NotWheelchairAccessible,wheelchair_accessible,6
75,agency,agency,52
76,dropOffType,drop_off_type,5
78,wheelchairAccessible,wheelchair_accessible,11
81,WheelchairAccessible,wheelchair_accessible,8
82,Service,service,16
83,UnlimitedTransfersAllowed,transfers,5
85,endTime,end_date,4
87,destinationStop,stop,63
91,RecommendedTransfer,transfers,4
93,shape,shape,58
100,FareClass,fare_id,4
109,DropOffType,drop_off_type,1
110,timeZone,zone_id,8
111,sunday,monday,16
119,paymentMethod,payment_method,10
123,originStop,stop,13
125,Stop,stop,82
127,departureTime,departure_time,9
128,zone,zone_id,11
137,MustPhone,agency_phone,3
138,serviceRule,service,15
140,WheelchairBoardingStatus,wheelchair_boarding,5
142,shortName,route_short_name,5
148,route,route,108
150,color,route_color,13
153,transfers,transfers,16
155,NoTransfer,transfers,9
157,direction,direction_id,6
158,TransferType,transfers,4
168,originZone,origin_id,4
170,NotAvailable,wheelchair_accessible,1
172,stop,stop,105
173,transferExpiryTime,transfers,1
178,PickupType,service_id,3
184,Zone,zone_id,5
185,NoTransfersAllowed,transfers,5
187,block,block_id,7
197,Agency,agency,20
201,dateAddition,date,6
203,service,service,32
204,saturday,monday,16
212,PaymentMethod,payment_method,8
218,fareUrl,fare_id,16
219,TwoTransfersAllowed,transfers,5
222,TransferRule,transfers,9
225,transferType,transfers,11
227,tuesday,monday,16
234,friday,monday,16
241,MinimumTimeTransfer,transfers,4
243,bikesAllowed,bikes_allowed,12
247,Trip,trip,31
249,textColor,route_color,12
250,ServiceRule,fare_rule,1
256,FareRule,fare_id,6
